"filename", "language", "Java", "Generic Pseudocode", "Markdown", "comment", "blank", "total"
"c:\School\oop_project\TDT4100_prosjekt_ingara\README.md", "Markdown", 0, 0, -60, 0, -29, -89
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\BoardTileIterator.java", "Java", 3, 0, 0, 0, 1, 4
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Board\Chessboard.java", "Java", -137, 0, 0, -3, -38, -178
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Board\Tile.java", "Java", -3, 0, 0, 3, -3, -3
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\ChessController.java", "Java", 31, 0, 0, -7, 3, 27
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Files\SaveBoardState.java", "Java", 9, 0, 0, -14, -7, -12
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Movement\CheckLegalMoves.java", "Java", -5, 0, 0, 123, -11, 107
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Movement\Game.java", "Java", -171, 0, 0, -45, -42, -258
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Movement\MovementPatterns.java", "Java", 27, 0, 0, -21, -17, -11
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\TerminalChess.java", "Java", -186, 0, 0, -3, -58, -247
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\Testy.java", "Java", -29, 0, 0, 0, -11, -40
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\DELETE ALL OF THIS BEFORE SUBMISSION.pseudo", "Generic Pseudocode", 0, 0, 0, 0, 1, 1
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\dokumentasjon.pseudo", "Generic Pseudocode", 0, 45, 0, 0, 30, 75
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\main\java\project\pseudocode\thingsToRemember.pseudo", "Generic Pseudocode", 0, 6, 0, 0, 5, 11
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\test\java\project\BoardTileIteratorTest.java", "Java", 41, 0, 0, 17, 13, 71
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\test\java\project\CheckLegalMovesTest.java", "Java", 183, 0, 0, 43, 83, 309
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\test\java\project\GameTest.java", "Java", 278, 0, 0, 74, 92, 444
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\test\java\project\MovementPatternsTest.java", "Java", 266, 0, 0, 31, 101, 398
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\test\java\project\PieceTest.java", "Java", 25, 0, 0, 5, 9, 39
"c:\School\oop_project\TDT4100_prosjekt_ingara\src\test\java\project\SaveBoardStateTest.java", "Java", 143, 0, 0, 0, 35, 178
"Total", "-", 475, 51, -60, 203, 157, 826